scenario,zone,layer,metric,n_zig,n_cpp,median_zig_ns,median_cpp_ns,ratio_median,ci_lo,ci_hi,cv_zig_pct,cv_cpp_pct,verdict
build_solo_watershed_map_6,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,8472600.0,8263500.0,1.025304047921583,0.9450030366421486,1.0366281192939744,1.7178264276588509,3.87654749290571,tie(noise)
build_solo_watershed_map_6,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,8544800.0,7731300.0,1.1052216315496748,1.0412087571706459,1.1545846446801196,2.2707287040571495,3.132383237117445,SLOWER
build_solo_watershed_map_6,rcRasterizeTriangles,build,min_ns,7,7,444815900.0,527088500.0,0.8439112217398027,0.8145245914292487,0.8641850190338883,1.5960429883459455,2.4432524323169487,FASTER
build_solo_watershed_map_5,dtCreateNavMeshData,build,min_ns,7,7,1710800.0,3014800.0,0.567467162000796,0.5624089524566283,0.5763842783162927,1.1865926954522854,0.22369386338442465,FASTER
build_solo_watershed_map_5,rcBuildCompactHeightfield,build,min_ns,7,7,44129100.0,59693500.0,0.7392613936190707,0.7325764337851929,0.7500797721371879,1.0951849308889114,1.3234148427321488,FASTER
build_solo_watershed_map_5,rcBuildContours,build,min_ns,7,7,23738400.0,23032600.0,1.0306435226591875,1.009384121980876,1.0482766965119092,1.2668160856597586,1.3717474896310646,SLOWER
build_solo_watershed_map_5,rcBuildDistanceField,build,min_ns,7,7,50331900.0,47397100.0,1.0619194001320755,1.0523634826393322,1.0685333834805704,0.5480168039313196,0.5566415128423992,SLOWER
build_solo_watershed_map_5,rcBuildPolyMesh,build,min_ns,7,7,137379500.0,194106600.0,0.707752853329047,0.6998815623970301,0.7143238478635148,0.6869051144140014,0.6625578971561501,FASTER
build_solo_watershed_map_5,rcBuildPolyMeshDetail,build,min_ns,7,7,285469000.0,301100600.0,0.9480851250379442,0.9426065489510975,0.9502679458526851,0.23508530068833788,0.6325223955879544,FASTER
build_solo_watershed_map_5,rcBuildRegions,build,min_ns,7,7,241616200.0,236825300.0,1.0202296798526171,1.0109683400550875,1.0413033918539716,0.8849021371051046,1.2879929194346567,SLOWER
build_solo_watershed_map_5,rcErodeWalkableArea,build,min_ns,7,7,37550400.0,38859100.0,0.9663219168740398,0.9576937113515197,0.9711290276923552,0.2886818365832024,0.5495838776617856,FASTER
build_solo_watershed_map_5,rcFilterLedgeSpans,build,min_ns,7,7,44278200.0,64334900.0,0.6882454157852115,0.6844684769746343,0.6952736162280564,0.5359807920802665,0.5418752215736637,FASTER
build_solo_watershed_map_5,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,5603300.0,7562300.0,0.7409518268251722,0.7112658033474945,0.7814273800876981,3.855404718044571,3.527255062360656,FASTER
build_solo_watershed_map_5,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,5441900.0,7341400.0,0.7412618846541532,0.7226813098506664,0.7899912430554559,2.495727202518852,3.844956066769945,FASTER
build_solo_watershed_map_5,rcRasterizeTriangles,build,min_ns,7,7,62728700.0,74925900.0,0.8372098299786856,0.830476220935811,0.8615937350885564,2.0019812507357906,0.9448431325395594,FASTER
build_solo_watershed_map_2,dtCreateNavMeshData,build,min_ns,7,7,3802200.0,6764900.0,0.5620482194858756,0.555039377046279,0.5704450967828458,1.0538154285142356,1.104808913477385,FASTER
build_solo_watershed_map_2,rcBuildCompactHeightfield,build,min_ns,7,7,74080700.0,103320600.0,0.7169983527002359,0.6977910005545882,0.75030197584781,3.8258380877948257,2.6255960149873165,FASTER
build_solo_watershed_map_2,rcBuildContours,build,min_ns,7,7,35596000.0,36123200.0,0.9854055011737609,0.9547493371669314,1.028049630326806,2.876001419153754,4.3066291367021226,tie(noise)
build_solo_watershed_map_2,rcBuildDistanceField,build,min_ns,7,7,72588100.0,70127400.0,1.0350889951716447,1.012713535649649,1.0621068210883278,1.3235354140326643,1.401272485037418,SLOWER
build_solo_watershed_map_2,rcBuildPolyMesh,build,min_ns,7,7,107886900.0,149675900.0,0.7208034159139848,0.6898620457063934,0.7474759271713872,1.7179987403581005,3.5511617556203823,FASTER
build_solo_watershed_map_2,rcBuildPolyMeshDetail,build,min_ns,7,7,151119500.0,176546700.0,0.855974651466156,0.8326772532998427,0.8686803641517291,0.6476111980675026,2.0539031608013567,FASTER
build_solo_watershed_map_2,rcBuildRegions,build,min_ns,7,7,316602600.0,341695800.0,0.9265627496738327,0.896577041215773,0.9569519888577886,0.8862381940917218,2.4009936917303696,FASTER
build_solo_watershed_map_2,rcErodeWalkableArea,build,min_ns,7,7,53692300.0,58754200.0,0.9138461590830953,0.8957143668616909,0.9314104151897437,1.4251031377433825,1.1546455070428336,FASTER
build_solo_watershed_map_2,rcFilterLedgeSpans,build,min_ns,7,7,88578100.0,126502300.0,0.7002094033072916,0.6823449352829711,0.7111298279388761,0.6558805276908029,1.6383135966300753,FASTER
build_solo_watershed_map_2,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,10393900.0,12243300.0,0.8489459541136785,0.8166474599058868,0.9002697894306023,4.297485112620981,2.404807959327827,FASTER
build_solo_watershed_map_2,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,10473800.0,11813400.0,0.8866033487395669,0.8173812776913417,0.92681201812673,4.509579298980271,4.595699999252437,FASTER
build_solo_watershed_map_2,rcRasterizeTriangles,build,min_ns,7,7,120509700.0,137741600.0,0.8748969084140158,0.8531501516388662,0.8825309109996501,1.3613746460249032,1.2916899331998193,FASTER
build_solo_watershed_map_4,dtCreateNavMeshData,build,min_ns,7,7,3325200.0,5817600.0,0.571575907590759,0.5680647155812036,0.5811921714305369,1.1415661854988655,0.4665425834291864,FASTER
build_solo_watershed_map_4,rcBuildCompactHeightfield,build,min_ns,7,7,60923000.0,79314600.0,0.7681183539978768,0.7459791792773278,0.7810070289735237,2.0106184286940496,1.1098946266399297,FASTER
build_solo_watershed_map_4,rcBuildContours,build,min_ns,7,7,31173100.0,31727600.0,0.9825231029135516,0.9350523031748945,1.0226249711457078,2.1347659027812016,2.0959751911045763,tie(noise)
build_solo_watershed_map_4,rcBuildDistanceField,build,min_ns,7,7,59430400.0,56470200.0,1.0524205687247432,1.0475178295752556,1.060596982116773,0.5462973045633973,0.45387557058280636,SLOWER
build_solo_watershed_map_4,rcBuildPolyMesh,build,min_ns,7,7,322126200.0,459731600.0,0.7006831812300917,0.6964165289384938,0.7045556423230342,0.3918703734916482,0.5794583960331968,FASTER
build_solo_watershed_map_4,rcBuildPolyMeshDetail,build,min_ns,7,7,135803400.0,144822300.0,0.9377243697966404,0.930755026742635,0.953209346433398,0.834371704266335,0.7200840150959071,FASTER
build_solo_watershed_map_4,rcBuildRegions,build,min_ns,7,7,215197500.0,230240500.0,0.93466397093474,0.9223729075922207,0.95129117110492,0.4959026137220491,1.3475092872844783,FASTER
build_solo_watershed_map_4,rcErodeWalkableArea,build,min_ns,7,7,45766300.0,48314000.0,0.9472678726663079,0.9449482521008056,0.9531424274964223,0.44146353811951794,0.33276120339413845,FASTER
build_solo_watershed_map_4,rcFilterLedgeSpans,build,min_ns,7,7,70796500.0,99373900.0,0.7124254960306479,0.7092671927846674,0.7168190935706946,0.6715305965837151,0.33389023792446626,FASTER
build_solo_watershed_map_4,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,10413400.0,12025100.0,0.8659720085487854,0.8235567738184234,0.9107014283083003,4.578635471366111,2.399350218690661,FASTER
build_solo_watershed_map_4,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,10009600.0,11136500.0,0.8988102186503839,0.8474034879708362,0.9468537725513111,4.395581563353527,2.599369928200353,FASTER
build_solo_watershed_map_4,rcRasterizeTriangles,build,min_ns,7,7,123507000.0,139558000.0,0.8849868871723584,0.8770514934658642,0.8956448077397586,1.0395345899895787,0.5460098361343362,FASTER
build_solo_watershed_map_1,dtCreateNavMeshData,build,min_ns,7,7,8617200.0,15288000.0,0.563657770800628,0.5576646403898746,0.5655012664540598,0.3122519309533956,0.6957495141162033,FASTER
build_solo_watershed_map_1,rcBuildCompactHeightfield,build,min_ns,7,7,88467700.0,117997400.0,0.7497427909428512,0.7144714218449213,0.7960544190172888,2.8518391617724608,3.424339786217361,FASTER
build_solo_watershed_map_1,rcBuildContours,build,min_ns,7,7,47982100.0,51004600.0,0.9407406390796125,0.8554863327697051,0.9758919282231465,1.978268607694334,5.861914924162475,FASTER
build_solo_watershed_map_1,rcBuildDistanceField,build,min_ns,7,7,78831600.0,76202800.0,1.034497420042308,1.0162000525337167,1.0549508457184469,0.7437907101969565,1.6045403519303343,SLOWER
build_solo_watershed_map_1,rcBuildPolyMesh,build,min_ns,7,7,909545500.0,1275261900.0,0.7132225153123448,0.7025170679570968,0.7173937623809755,0.6213011449708533,0.7653775803873881,FASTER
build_solo_watershed_map_1,rcBuildPolyMeshDetail,build,min_ns,7,7,234871800.0,252357300.0,0.9307113366643247,0.9000793283025584,0.9367042204848232,0.4839161211948531,1.7428210872140173,FASTER
build_solo_watershed_map_1,rcBuildRegions,build,min_ns,7,7,620377500.0,730405400.0,0.8493605058232044,0.8248389573111712,0.8681100560862107,0.9819547694609854,2.208010840034996,FASTER
build_solo_watershed_map_1,rcErodeWalkableArea,build,min_ns,7,7,62689600.0,67280200.0,0.9317689305323111,0.9270349258561376,0.9420938507312802,0.5301058737460477,0.7837050132093735,FASTER
build_solo_watershed_map_1,rcFilterLedgeSpans,build,min_ns,7,7,108524100.0,153463300.0,0.7071664691167204,0.694436412136606,0.7256709753278355,0.8998512244719954,1.8257001875962657,FASTER
build_solo_watershed_map_1,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,16026900.0,17218400.0,0.9308007712679459,0.8489859059935659,0.9892213718686125,2.9465209487449995,5.134190345609496,FASTER
build_solo_watershed_map_1,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,14157800.0,17635600.0,0.8027966159359478,0.7455481475229977,0.9970413241372151,6.909744386508086,9.932464094892367,FASTER
build_solo_watershed_map_1,rcRasterizeTriangles,build,min_ns,7,7,186812100.0,209591600.0,0.891314823685682,0.8727569896501662,0.9025264401014825,0.7348632298918338,1.0771975812976315,FASTER
build_solo_watershed_map_3,dtCreateNavMeshData,build,min_ns,7,7,3949700.0,6855100.0,0.5761695671835567,0.5711804299051892,0.5796018807399921,0.5586707039148132,0.744411817381764,FASTER
build_solo_watershed_map_3,rcBuildCompactHeightfield,build,min_ns,7,7,70585000.0,91876800.0,0.768257057276701,0.7536961051794883,0.7980650843436295,1.3087813849800438,2.061415616977979,FASTER
build_solo_watershed_map_3,rcBuildContours,build,min_ns,7,7,34438000.0,34879100.0,0.9873534580880814,0.9380450165384329,1.0063303890794948,2.1765987342293283,2.6185379205530324,tie(noise)
build_solo_watershed_map_3,rcBuildDistanceField,build,min_ns,7,7,65040300.0,63258600.0,1.0281653403647883,1.0206499629597077,1.041161690689086,0.27679153044746957,0.8340898384961051,SLOWER
build_solo_watershed_map_3,rcBuildPolyMesh,build,min_ns,7,7,131347800.0,182531200.0,0.7195909521221577,0.7127570519450921,0.7224466021339896,0.7233252382112141,0.47824653262826755,FASTER
build_solo_watershed_map_3,rcBuildPolyMeshDetail,build,min_ns,7,7,507379900.0,528880200.0,0.95934750440648,0.9417711392893159,0.9636509120391284,0.6874166398053319,0.8669784682598466,FASTER
build_solo_watershed_map_3,rcBuildRegions,build,min_ns,7,7,271091500.0,319819200.0,0.8476398540175198,0.8440353931652316,0.8576903168390559,1.0636090301027084,0.3723049755194151,FASTER
build_solo_watershed_map_3,rcErodeWalkableArea,build,min_ns,7,7,50897100.0,53776300.0,0.946459685772357,0.9412427034875107,0.9558792997996809,0.3333952534569267,0.4817464605501402,FASTER
build_solo_watershed_map_3,rcFilterLedgeSpans,build,min_ns,7,7,108351800.0,142367000.0,0.7610738443599991,0.7467439544896426,0.7668296824900096,0.3944403417835644,1.0507950676754012,FASTER
